audio,text
train_converted/61.wav,tan bo li gun m tsiah sing kiann
train_converted/62.wav,tsit king ti tiau siang tsio u lak pah gua tsiah ti a
train_converted/63.wav,tsi goo hing hok e tai uan lang tai tian u in e tsuan giap tsing hu beh an ne tso it ting ia u i e to li
train_converted/64.wav,ma ho bo gua sia phue hoo i mng khuann i beh m
train_converted/65.wav,iong thong ke e hong sik tso ping m si beh tshu tai tsuan ka
train_converted/66.wav,lang bo song khuai to hoo hu kin e i sing sio iann tsit e
train_converted/67.wav,li mai phah ma mah lah
train_converted/68.wav,li kam u jin tong hit ui ki tsia e po to hong sik
train_converted/69.wav,peh pah goo tsap si phinn ku tsing mi mi
train_converted/70.wav,tse piau si Clinton tsit ma king ka su iau oo lang suan phio su iau Barack Obama tsong thong e tsi tshi tsia
train_converted/71.wav,i e bin phong phue phong phue tuainn tuainn tuainn
train_converted/72.wav,gua u kua bo song khuai kah ngai gioh
train_converted/73.wav,pai to pai mah
train_converted/74.wav,ueh thau ke gua beh ai sann liap
train_converted/75.wav,tsit kui kang the lan sai tshia e un tsiang si lau senn sai tshia e king giam tsiann tse tsiann tsu tshim ki sut iu koh ho tak ke e tang hong sim tak ke phok a siann tshui lueh ka su ki kam sia tsit e
train_converted/76.wav,a ha
train_converted/77.wav,siau lian ke tsit si thiann bo han tsing li e i su ka mng kong peh a li beh tshue lang oh tso inn a si bo sit tsai tsin sit le gua kam kak gua ka ti bo siann sik hap li e tang koh mng pat lang khuann mai leh
train_converted/78.wav,li teh siunn siann mih
train_converted/79.wav,kin lai sin the ho m
train_converted/80.wav,u tsit kang pue a na phua
train_converted/81.wav,the gua ka thui puann loh lai ho bo
train_converted/82.wav,sin the bo tianne siunn beh ai e mih
train_converted/83.wav,i khuann tian si bo
train_converted/84.wav,bo gua kio i sin sua uat kue lai tsai li
train_converted/85.wav,ui tioh tsuann iunn leh ui tioh tsuann iunn leh ui tioh tsuann iunn leh beh lai tui lan tsoo gai
train_converted/86.wav,ma be in ui ke tshut lai e goo kong kin the tang m kann tshut mng
train_converted/87.wav,ho long tshuan ho king ti long tshuan koo niu tann tsui tshio hi hi
train_converted/88.wav,aih ioh he u siann mih bun te li na kam honnh gua it ting ka i ka lah
train_converted/89.wav,am tng lan lai tsiah pizza ho bo
train_converted/90.wav,to tsit tiau loo si tioh e
train_converted/91.wav,tsiok tsiok hoo i than sann pah ban
train_converted/92.wav,tse jiak kuh tioh ai iong bo kang khuan e mi sin lai tshia
train_converted/93.wav,kam u sau tang si e sau
train_converted/94.wav,gua ai khi ah bian m bian hiooh
train_converted/95.wav,mih kiann guan lai ti tsia gua sit tsai si tua bak sin niu bo khuann eh tsau
train_converted/96.wav,a bu kin a jit si bu tshin tseh tsu png to hoo gua lai tau sann kang
train_converted/97.wav,tsioh gua khuann tsit e honnh
train_converted/98.wav,siong ho si put si tsiong kha poo thing loh lai tsiong sim tsing loh lai hoo ka ti bo khang khue ho tso
train_converted/99.wav,tse to si li tue i be tioh e soo tsai
train_converted/100.wav,tsit khann sir tian le su e tiann si siang the e oo
train_converted/101.wav,be e pi be e ke tsit puann
train_converted/102.wav,hann
train_converted/103.wav,an ne e hue tshau m tsai siann to gua tse ai tshing sui e tsau gin a leh m koh kua beh kui gueh jit long bo lang lai kau kuan
train_converted/104.wav,an sng beh su iong po lik e thong ti tsia ma in ui an ne to khah m kann oo peh lai
train_converted/105.wav,ui ua lai khuann e lang lu lai lu tsue tak ke hoo siong tho lun tsit kiann tai tsi m koh bo puann e lang siong sin han tsing li kong e ue ma bo lang khui tshui kong beh be inn a
train_converted/106.wav,i pan tai tsi thuat suann thuat suann long tso be ho
train_converted/107.wav,kau tsian e siau sit tai lam hu siann kau hue po pian tsip sik tu it kiu khong ngoo
train_converted/108.wav,tan leh kau ki tiunn e si tsun tshia ting e mih kiann hing li ai theh hoo tsiau tioh na u su iau tshia a e ping iu loh tshia e soo tsai to u tshia a thang sak
train_converted/109.wav,ban ban m thang khi
train_converted/110.wav,ooh beh khuann hi khi pai tui
train_converted/111.wav,tiau hueh kiam poo hueh hueh loo tiau kah sun sun sun hoo li sui tang tang tsing khi sin pa tsiok
train_converted/112.wav,tsi bing
train_converted/113.wav,keh tng kang e tau in tang tse hong tshia kau pun so tiunn li e poo si a jit thau iam juah tshau bi mua si kue
train_converted/114.wav,peh pah tsap phinn kau tsong tsiann tso tso phai ling siu kau tsong tsiann tso tso phai ling siu
train_converted/115.wav,kia hoo gua ma kang khuan lah
train_converted/116.wav,kin lai kiu leh lah
train_converted/117.wav,gua khioh tioh e tsinn
train_converted/118.wav,tai pak goo hue tsap sik li tioh koh siunn khuann mai leh
train_converted/119.wav,be tshai kuan
train_converted/120.wav,an tsuan tua ha hoo ho tan thai khi pue
train_converted/121.wav,luah lang honnh tioh ai lai tsit pue ping liang e bi lu lim hoo sim liang pi thoo khui
train_converted/122.wav,lau ko e ah na e hiah bo ing
train_converted/123.wav,tsit kui ni bo siann tiong kok iu kheh hia e hoo the luh kiong beh to liau liau ah
train_converted/124.wav,a bu si m kam ka thiam li e huan lo kiann li bo sim tsiann thang tso khang khue
train_converted/125.wav,gin a siut tsit e tui si tua lang e sin khu pinn kue
train_converted/126.wav,kuann kin ka hing li kia kia tng khi
train_converted/127.wav,khng ti toh ting e tian iann phio koh u peh kau tiunn khuann siang ai
train_converted/128.wav,tshuan hiok tse ui tshit tsap kau ni
train_converted/129.wav,pang tshiu lah
train_converted/130.wav,tse ia ai he ia ai
train_converted/131.wav,au painn khuann e sai than kua tsinn bo
train_converted/132.wav,peh pah khong kau phinn tong sing hun hap huat hua koh lai khuann o tsiu
train_converted/133.wav,kah i tong jip hue hng
train_converted/134.wav,eh a lim peh a
train_converted/135.wav,khuann khi lai lan sim kuann e kin a jit khi moo tsih bo ho oo si siang khi hu li ah
train_converted/136.wav,uat ke tsit ping lah
train_converted/137.wav,tsit jit tsit jit tsit ni tsit ni
train_converted/138.wav,bah ai sing kah liau kiau kiau leh tsiah khai si tsian
train_converted/139.wav,ho
train_converted/140.wav,gua tsa to kong kue ah li to m sin tua thau a ong e an ne leh liam ping iu
train_converted/141.wav,bo bin a tsai tsiah kio lang kio in lau pe lai lah
train_converted/142.wav,tng su e tso huat si kin ki tai hua su tian tshai iong to thau siong tua pi tui backward maximal matching BMM ian sng huat
train_converted/143.wav,gua ji long sia be tshut lai kam kong bo tsui ah
train_converted/144.wav,ho siau sit
train_converted/145.wav,ke kui jit koh tit tioh ki hue thang kiat khiam sun un jiu e ke tsi tsiu si gua e tsa boo kiann e thau ke niu koh lai guan tau bai i iau ku gua loo be ka i he thau ke niu khuann kinn gua an ni put tsi ki kuai khuann i e khuan sit tshin tshiunn tsai i ia u m tioh beh khi e si ka gua kong li e tsa boo kiann na beh tshiann tua teh ke tsit le pai ia thang
train_converted/146.wav,tsit tsiong tsinn li khai e loh khi ooh
train_converted/147.wav,eh
train_converted/148.wav,ki tsit e le pio si iong V tsih tsha sun pio goo iong kong N tsha sun
train_converted/149.wav,khuann li buah SK two buah kah hiah kut lat tau te si buah liau u hau bo
train_converted/150.wav,ti penn inn a
train_converted/151.wav,ah tsit tiunn phue ka gua kheh khi
train_converted/152.wav,Ireland ting ko gueh kong bin tau phio thong kue tong sing hun hap huat hua u koo le tioh tsuan se kai e tong sing luan jin khuan un tong
train_converted/153.wav,a peh a siann mih tai tsi ah
train_converted/154.wav,li e tang tshu lai ka gua tho kheh hiann
train_converted/155.wav,ma mah lang kan khoo
train_converted/156.wav,gua a put lah tsuat tui be ing tsit kik tiam tiam
train_converted/157.wav,in tshiu e ke tian kong ti siann mng e mng sinn luan sia luan uih
train_converted/158.wav,lak gueh tshe kang tong koh the tshut tsit an hong phue phing si beh lai kuah tiu a bue tian to e phah phainn kiong sik pian sing tsing tong sio tsenn
train_converted/159.wav,li he oo a ing tong si mi mi sang sang na e tsiah tioh haunnh haunnh
train_converted/160.wav,hit si ah bo tsau ma bo tiann tshu lai si tsin san tshiah
train_converted/161.wav,khong it khong pat ji ji sann ho pong nng sann tshenn sia goo tsap khoo
train_converted/162.wav,gua thau tsit ki tshiu ki a si be Nokia e
train_converted/163.wav,aih ioh kin leh kin leh kin leh lah a ha
train_converted/164.wav,goo lu huh si tsit khuan kai ko kip e un tong
train_converted/165.wav,te tshit pah sann tsap tshit phinn sam pat sin niu gong kiann sai
train_converted/166.wav,lang leh siunn pan huat ka mng phah khui
train_converted/167.wav,eh eh eh ah li mng kha khau m bian lai ka gua sau sau leh an ne e ing tsit si m
train_converted/168.wav,iau si khi tshia thau tsiah ka li kong lah
train_converted/169.wav,tsap tang tsiah sia an ne tong lian gua e tang hue kong to tsin tse si kan khai ti thak tsheh sia lun bun sia tai gi kau tshai bo ka tshong tsok tong tso siong iau kin e bok piau
train_converted/170.wav,pi lu kong kok tse hing su huat inn
train_converted/171.wav,i iau be lai
train_converted/172.wav,kha poo ma tue leh tang huainnh huainnh
train_converted/173.wav,li gua tng tshing tshun thng kam bit tinn lai kue jit
train_converted/174.wav,bok tiau tsuan hing tshong sin tsha kiah tshut thau thinn
train_converted/175.wav,tsit nng hun pang gua in siang bin a four hit tiunn hai po in a sann tshai sik e
train_converted/176.wav,loo beh tse tsann siang kin ma si me ni ni tiong
train_converted/177.wav,ah tui lan tai uan e ing hiong to si hun e sua khah ua jip lai e u sai pak hoo
train_converted/178.wav,tsan sing tsia o lo i kiann bu sit loo suann m koh kiong ho tong ti kok hue ka te tse
train_converted/179.wav,hah hah hah
train_converted/180.wav,goo tiam it mi kah CR kiong tong su tsoo soo liong
train_converted/181.wav,sio tsia li hiah ni sui m tsai e ing hoo gua tso moo le luh be
train_converted/182.wav,li si an tsuann nih
train_converted/183.wav,hit e a hiann kai haunn puah kiau
train_converted/184.wav,ma na tsai gua to hai
train_converted/185.wav,li khi giam DNA khuann mai i kam si li e tshin lang
train_converted/186.wav,to ti han tsing li khai si be inn a e te tshit kang tai tsi tsiong ki bue bo kang looh
train_converted/187.wav,kok lang tsiah kok lang e
train_converted/188.wav,ti tsit ma e Syria ma si kang khuan tsit e tua bun te bo kai kuat kong beh hoo pi kiok ing uan put tsai
train_converted/189.wav,li khuann e tioh e tshai long si iu ki e
train_converted/190.wav,bian sia tsiah kin
train_converted/191.wav,bing tsai li lan be tang tso tin in ho phian phian tui li tsiong tsing
train_converted/192.wav,tai uan lang ai tsiah kuah pau si in ui tsiah kuah pau siong ting siann mih i ham
train_converted/193.wav,tshu be e khi be be khi long ho tsi iau lan ing uan be hun khui to ho
train_converted/194.wav,hit ho li ga suh kam u kuainn u ga suh bi tsau tshut lai
train_converted/195.wav,gua khuann li be song
train_converted/196.wav,li u i hiah phah piann
train_converted/197.wav,tai liong kam kim si tsit e tsin tik su e bi kok hian siong
train_converted/198.wav,Rouble e ke tat ia tsiam tsiam hue sing
train_converted/199.wav,nia hing li e si tak ke hoo siong tsit e khuann tioh lan tsit thuan e hing li tshiann tau ka kuann loh lai
train_converted/200.wav,kian lip tai gi su e su lui kah khak jin tsing khak su lui tsit nng kiann tai tsi long si tua kang ting m koh tsa ban ai tso lan tsiah u huat too koh tsin tsit poo
train_converted/201.wav,lin tso lin tshit tho gun tsia bo siann mih hue kan na tshut san pun nng tsia koh khi bo gua hng
train_converted/202.wav,hi hi
train_converted/203.wav,penn penn ai lim som jiong ioh tsiu to ai lim pah sian som jiong ioh tsiu
train_converted/204.wav,eh sio tan leh
train_converted/205.wav,bo lun si hai kak thinn pinn
train_converted/206.wav,king jian su iong jiu to khim na sut ka tsit ui pin nng se si kue king siak
train_converted/207.wav,ing kai ing kai sia hue thong hing e gi gian tioh koo hoo tsai ti hak hau ka bu gi
train_converted/208.wav,thin tsit tua uann tso sann si tshui kuak loh khi
train_converted/209.wav,kau tsong e hoo iok to si lan lang be tang tit tit siau tham loh khi ai tsai iann tsun tsat
train_converted/210.wav,ma in ui iong hua gi su kho u e lang tsit bue hi suah pian tso tsit tiau hi
train_converted/211.wav,jit thau loh sai tsiau tsiah siann siann thi tshin tshiunn kio lan kin tng khi
train_converted/212.wav,i ui tioh phio pang ne
train_converted/213.wav,ui siann mih be tang an ne
train_converted/214.wav,khai si kah si sin tsau sio jik
train_converted/215.wav,na au kam u an nua kam u kam kak ngiau ngiau
train_converted/216.wav,u tsinn e tsa poo lang tshua sam tshe su tshiap si tsin su siong e tai tsi
train_converted/217.wav,ooh tai pak hiah ni ho than tsiah bo lua ku li to pian kah tsiah ni sui ah li si leh tsiah siann mih thau loo
train_converted/218.wav,tsit e gin a tsin koo tsui it tit iaunn iaunn kio
train_converted/219.wav,gun si ko tiong pit giap e
train_converted/220.wav,ooh i na si siunn beh kah li kang too ah gua e hiong tang su tiunn ka i kai siau un tsun e
train_converted/221.wav,jin lui kam tsin tsiann u oh tioh kau hun
train_converted/222.wav,han tsing li koh ing khue sinn ka pang loh lai e hit tui thoo iat iat leh hit tui thoo king jian pian sing tsit liap a tsit liap e inn a
train_converted/223.wav,tsit te khang pang bin ting e lang tshing kah tsiann phann m tsai gua na an ne tshing si m si ma e tang tshiunn i kang khuan
train_converted/224.wav,kang hu koh bue bai ooh
train_converted/225.wav,sin niu sann na bo ang phann phann an ne na e hi khi
train_converted/226.wav,gua hoo lang to kui na ik neh kui khi thiau lau si si leh ho ah
train_converted/227.wav,i m si in ho i beh tsham ka pi sai
train_converted/228.wav,eh heh heh hah hah hah eh
train_converted/229.wav,tshut lai
train_converted/230.wav,kui le pai liau au a biau e a ku beh tshua boo ah a biau to king soo hue a lai tshing ti loh te kiann bin thau tsing phin ah phin tsio ah tsio na tsio na tshio sai sai
train_converted/231.wav,ui tioh pi bian tsit e tsing hing e sai siat su pin e han tse
train_converted/232.wav,kan li si leh kong siann siau
train_converted/233.wav,si li bak tsiu hue a lah gua khuann bo siann koh iunn a ping iu an ne ka in
train_converted/234.wav,kok tse hing su huat inn ti nng tshing khong kau ni khi soo Sudan tsong thong Omar al Bashir
train_converted/235.wav,tsap sann gi tai iu lok se kai tsi it iu lok hng
train_converted/236.wav,bin tsheh ing kai ai khai hong hoo su iong tsia lap tsinn i siong sin u kui na ik e iong hoo kah i kang khuan guan i tak ko gueh hu tsit khoo bi kim
train_converted/237.wav,ui ting le pai si khai si kau kin a jit pai ji long tsong lak kang a
train_converted/238.wav,sio tsia m tsai u iau kin ah bo hannh
train_converted/239.wav,tsit ma tua poo hun e bin i tsi tshi tong sing hun tsi si u tsin tse kok hue gi guan iau koh leh kuan bong
train_converted/240.wav,kioh siau ho bo puah tsit kua su iann si be saih tsit
train_converted/241.wav,than e kong si pi liau e kong si kiam tsit siann
train_converted/242.wav,he hai ia si oo thau a tshia lah
train_converted/243.wav,si pe tshenn tshai tsit pah ooh
train_converted/244.wav,thiann li iann ke thong se kan lua jin sing tu it kiu ngoo ngoo
train_converted/245.wav,gua kiann tshut lai khuann tsiah tsu i tshia i king tsau ah
train_converted/246.wav,hun be put tshinn gun tsa boo kiann na u ban it khuann li beh iong siann mih lai pue gua
train_converted/247.wav,li lip lai tse tsit e
train_converted/248.wav,in m si kong bi kok long mai tshap tai tsi m koh bi kok e tsi uan ing kai ai hu khah giam keh e tiau kiann iau kiu tsia e tiong tang kok ka tsin hing kai kik mai hoo kik tuan tsu gi kau khi
train_converted/249.wav,u tsue kin sin the u khah song khuai
train_converted/250.wav,gua bo siunn tioh kong e in ui tioh gua huat sing tsit khuan pi kiok
train_converted/251.wav,lin tua so tsun na kiann iu ian gua lai tsu to e saih
train_converted/252.wav,king tse hak jingoo gueh tiong e po to u ki tsit e le Microsoft u gian huat tshut tsit tsiong ko jin nng the i king e hiau hun piat nng tsiong tsiok sing e kau a ka li kong to tsit tsiah si to tsit tsiong
train_converted/253.wav,gua e ling tsui tshauh tshauh tih
train_converted/254.wav,a iong a tse siann mih tshia khi siong pan
train_converted/255.wav,kin lai tue lang oh tsit e
train_converted/256.wav,a po kah in sin pu bo tua tso hue
train_converted/257.wav,ka tsai Russia i king tsoo tong tsit e huat tian au bing sit khi sin e tsai hu lai guan tsin kin to e to
train_converted/258.wav,sann li iong su lui sin sit the sing phin tsit
train_converted/259.wav,han tsing li khuann ka ti siong thiann e too te to an ne li khui se kan sim kuann thau si tshin tshiunn to leh kuah leh
train_converted/260.wav,hit king e u long mi kai khiu u ing e si tsun e sai tso hue khi tsiah khuann mai
train_converted/261.wav,nng ping e kong huat tui be khit lai
train_converted/262.wav,phainn khuann kah gua e kiann
train_converted/263.wav,eh tse m kan na hit lo bu ia tshe ti leh tshah mi ku leh
train_converted/264.wav,lang m si i thai e i loh bue bo hong kuainn tsu an ne tuaih
train_converted/265.wav,siok gi kong hm lang tshui hoo lui lui
train_converted/266.wav,li sui gua loh lai hai li
train_converted/267.wav,li to m bian huan lo
train_converted/268.wav,iu ki tan sun tah kong ko i king than bo tsinn soo i sia kau mui the lu lai lu su iau tsiam tui ko jin ka kho ling tui in u hau e kong ko hun piat tu hoo in tse to piau si ai hun sik su iong tsia e tsu liau tui tsong in e hing ui
train_converted/269.wav,tsing tsit jit li kam m si kong siann mih lang u tsit king tshu beh sue lang
train_converted/270.wav,kam sia tak ke siu thiann kin a jit e tsiat bok tsia si sui sui kong po tian tai am it khong tshit tiam ngoo tshing hik
train_converted/271.wav,tshia ho SRZ ngoo sam su kiu e tshia tsu tshiann tau sua tshia tsit e li tsah tioh keh piah e tshia a
train_converted/272.wav,ka tsai a kai tsai kau kah beh am a u tsit e siu phai tang ku siah e a i khuann in iau koh sui sui leh to sui ka khioh tsau
train_converted/273.wav,li am tng siunn beh tsiah siann mih
train_converted/274.wav,siunn siunn leh iau si kuat ting buai khi
train_converted/275.wav,li beh kah gua tso hue lai khi tsiah png bo
train_converted/276.wav,li kin a jit pi ki thann tong oh koh khah tsa lai hak hau
train_converted/277.wav,si liau i a lak e lang tse
train_converted/278.wav,bo kang e iu lok khi tsai sik hap bo kang khuan e lang tse ho tann e lang tse khah tshi kik e bo kah i khi khi loh loh e
train_converted/279.wav,a bu ah tsiok sui e neh kam sia li ooh kak hue a ti sann tu a lai thiann a biau leh ka in bu a sueh sia
train_converted/280.wav,li sing tshing e pu long tsiah khi tsinn han tsi to m kiann hoo iu phun kah kui sing khu long si
train_converted/281.wav,tse tsng thau kiann gua
train_converted/282.wav,tsiam si mai kah gua kong ue
train_converted/283.wav,he kue tsi gua khau koo senn hiah ni tng honnh bai khin tsiok tse e ai tan tiau m thang koh tsiah ah
train_converted/284.wav,ki tiong P of a si gi su a e ki lut
train_converted/285.wav,kin lai khi
train_converted/286.wav,koh tsap goo hun tsing to kau ko hiong a lan tsun pi beh loh pue a tshiann tak ke tse tng khi ka ti e ui tse hoo ho ka an tsuan tua koh ha tng khi be sai koh khi pian soo
train_converted/287.wav,tshio tsit e
train_converted/288.wav,kin lai ka gua tau khuann mai tsit tai oo too bai si m si u siann bun te ga soo lin e bi tsin tang neh
train_converted/289.wav,khi lah
train_converted/290.wav,si an tsuann beh king tsit phinn kin a jit si guan tsu bin jit ki liam guan tsu bin tsiann mia
train_converted/291.wav,u e lang annh tsit e ka ting bo huat too sing uah ah honnh kiau be khi hak hui ah honnh ah kiat ko tsing hu li khai hiah ni tse tsinn
train_converted/292.wav,m koh ue kong to tng lai tsia e bian hui e bang loo hok bu ma m na si than kong ko tsinn nia nia
train_converted/293.wav,be mai siunn siunn tse
train_converted/294.wav,gua ka i kai sueh hit hang tai tsi
train_converted/295.wav,an ne lah
train_converted/296.wav,tshit pah kau tsap it phinn iong tsok gi sia kong bun tshua ing bun guan tsu bin tsuan hing tsing gi huah tua poo
train_converted/297.wav,khi tai pak
train_converted/298.wav,li tsu tsit e png tsu kah kiam tok tok kam e tsiah tit
train_converted/299.wav,ho ho
train_converted/300.wav,tah sim e ui tioh khing tsiok lan kiat hun goo tsiu ni ka gin a se sing khu tsit hang tai tsi kin a jit to kau hoo gua looh
train_converted/301.wav,tsit liap suann to tshin tshiunn tshun tsit puann e tsah pin leh kan ta u tsai tiau ka puann ping e thinn tsah tiau leh soo i tak ke long ka tsit liap suann ho tso puann ping suann
train_converted/302.wav,mng phah khui
train_converted/303.wav,pang king lai e khong tsuann tsui te bi ka pi long bian tsinn in ui khuan po e kuan he tak ke ai khah khiam leh lim
train_converted/304.wav,tsit goo ni lan tai uan e GDP long tsing ka nng pha tsu ke tshu tsat kue kong kin ni e GDP kho ling e pi goo ban nng tshing sann pah khong si khoo bi kim koh khah kuan
train_converted/305.wav,long tsong ka iah iah tshut lai
train_converted/306.wav,tshia beh khui looh iau be tsiunn tshia e lu kheh tshiann kuann kin tsiunn tshia
train_converted/307.wav,tsiok lin kian khong khuai lok ban su ju i to sia
train_converted/308.wav,bo gi ngoo tsuan thing ti ko sok kong loo ting ka kok kong ho tsah tiau leh iau theh to a beh phut un tsiang
train_converted/309.wav,tioh a tsiah sann liap bian tsinn lah han tsing li an ne ka i in
train_converted/310.wav,kho sioh bok tsing iau bo tse si gi gian hak kai e tsik jim
train_converted/311.wav,sann ni tsing ah gua u tsit lit koo sin khi ue too tu tioh tsit e tshan tsng e koo niu
train_converted/312.wav,ah a ha a ha tsia u i sing kuan bo
train_converted/313.wav,hann
train_converted/314.wav,tai uan te it ki tua ki e tian iann
train_converted/315.wav,tua e
train_converted/316.wav,pian na tsioh khuan jin bo tsai tiau phenn hing to khi se han e ka tui hong phah tso tang siong na bo to si lau lang kau tiam thau phuah iu tshat
train_converted/317.wav,bo thiann eh siann ma bo khuann eh iann
train_converted/318.wav,tshai kue poo iong kah kui te oo so so kin ka tan hinn sak
train_converted/319.wav,hit e si tsun u bi kok phinn kok gi phinn kng tang phinn sim tsi si e mng phinn
train_converted/320.wav,tsin tsian lik tong kah Abbott tsu iu tong e tong su long i king the tshut tsi tshi tong sing hun hap huat e huat an
train_converted/321.wav,si kan kue liau tsiok kin neh lan tshit kang e hing ting tsit bak nih a to beh kiat sok ah tak ke tshut lai tshit tho u huann hi bo
train_converted/322.wav,ho a pai kui
